312.7969 	DATA 	Keypress: equal
314.2974 	DATA 	Keypress: equal
315.7942 	DATA 	Keypress: equal
317.2973 	DATA 	Keypress: equal
318.7995 	DATA 	Keypress: equal
320.2931 	DATA 	Keypress: equal
321.7838 	DATA 	Keypress: equal
323.2839 	DATA 	Keypress: equal
324.7940 	DATA 	Keypress: equal
326.2932 	DATA 	Keypress: equal
327.7927 	DATA 	Keypress: equal
329.2940 	DATA 	Keypress: equal
330.7806 	DATA 	Keypress: equal
332.2930 	DATA 	Keypress: equal
333.7925 	DATA 	Keypress: equal
333.9973 	DATA 	Keypress: space
334.1466 	EXP 	New trial (rep=0, index=9): OrderedDict([('cue', 'stimsday2details/C28.png')])
334.1746 	EXP 	cueImage: autoDraw = False
334.1746 	EXP 	text: autoDraw = False
334.1746 	EXP 	cueImage: image = 'stimsday2details/C28.png'
334.1746 	EXP 	cueImage: autoDraw = True
334.1746 	EXP 	text: autoDraw = True
335.2807 	DATA 	Keypress: equal
336.7971 	DATA 	Keypress: equal
338.2805 	DATA 	Keypress: equal
339.7809 	DATA 	Keypress: equal
341.2804 	DATA 	Keypress: equal
342.7966 	DATA 	Keypress: equal
344.2979 	DATA 	Keypress: equal
345.7971 	DATA 	Keypress: equal
347.2967 	DATA 	Keypress: equal
348.7978 	DATA 	Keypress: equal
350.2970 	DATA 	Keypress: equal
351.7975 	DATA 	Keypress: equal
353.2978 	DATA 	Keypress: equal
354.7923 	DATA 	Keypress: equal
356.2806 	DATA 	Keypress: equal
357.7938 	DATA 	Keypress: equal
359.2803 	DATA 	Keypress: equal
360.7800 	DATA 	Keypress: equal
362.2799 	DATA 	Keypress: equal
363.7781 	DATA 	Keypress: equal
365.2785 	DATA 	Keypress: equal
366.7922 	DATA 	Keypress: equal
368.2781 	DATA 	Keypress: equal
369.7786 	DATA 	Keypress: equal
371.2804 	DATA 	Keypress: equal
371.4088 	DATA 	Keypress: space
371.5418 	EXP 	New trial (rep=0, index=10): OrderedDict([('cue', 'stimsday2details/C6.png')])
371.5580 	EXP 	cueImage: autoDraw = False
371.5580 	EXP 	text: autoDraw = False
371.5580 	EXP 	cueImage: image = 'stimsday2details/C6.png'
371.5580 	EXP 	cueImage: autoDraw = True
371.5580 	EXP 	text: autoDraw = True
372.7814 	DATA 	Keypress: equal
374.2782 	DATA 	Keypress: equal
375.7830 	DATA 	Keypress: equal
377.2782 	DATA 	Keypress: equal
378.7808 	DATA 	Keypress: equal
380.2800 	DATA 	Keypress: equal
381.7771 	DATA 	Keypress: equal
383.2776 	DATA 	Keypress: equal
