date,time,group,subject,build,blocknum,trialnum,blockcode,trialcode,pretrialpause,posttrialpause,trialduration,trialtimeout,response,correct,latency,stimulusnumber1,stimulusitem1,stimulusonset1,stimulusnumber2,stimulusitem2,stimulusonset2
103119,13:02:08,1,24,5.0.14.0,3,3,block3,pretrainWithFeedback,0,0,0,0,Jim,0,5519,8,C172Q.jpeg,0,8,Wrong! It's Harold,5545
103119,13:02:08,1,24,5.0.14.0,3,4,block3,pretrainWithFeedback,0,0,0,0,Beth,1,2902,3,C21Q.jpeg,-1,1,correct!,2930
103119,13:02:08,1,24,5.0.14.0,3,5,block3,pretrainWithFeedback,0,0,0,0,Ashley,0,11193,23,C381Q.jpeg,0,23,Wrong! It's Angela,11231
103119,13:02:08,1,24,5.0.14.0,3,6,block3,pretrainWithFeedback,0,0,0,0,Jefferey,0,3516,2,C12Q.jpeg,0,2,Wrong! It's Jeffrey,3543
103119,13:02:08,1,24,5.0.14.0,3,7,block3,pretrainWithFeedback,0,0,0,0,Felix,1,2213,12,C202Q.jpeg,4,1,correct!,2244
103119,13:02:08,1,24,5.0.14.0,3,8,block3,pretrainWithFeedback,0,0,0,0,Jim,1,4256,4,C22Q.jpeg,-1,1,correct!,4278
103119,13:02:08,1,24,5.0.14.0,3,9,block3,pretrainWithFeedback,0,0,0,0,Camille,1,3247,11,C201Q.jpeg,5,1,correct!,3278
103119,13:02:08,1,24,5.0.14.0,3,10,block3,pretrainWithFeedback,0,0,0,0,Thomas,0,12139,24,C382Q.jpeg,4,24,Wrong! It's Dave,12184
103119,13:02:08,1,24,5.0.14.0,3,11,block3,pretrainWithFeedback,0,0,0,0,Dennis,1,1995,22,C342Q.jpeg,0,1,correct!,2027
103119,13:02:08,1,24,5.0.14.0,3,12,block3,pretrainWithFeedback,0,0,0,0,Bethany,0,23183,13,C221Q.jpeg,0,13,Wrong! It's Doreen,23219
103119,13:02:08,1,24,5.0.14.0,3,13,block3,pretrainWithFeedback,0,0,0,0,Vera,1,1653,19,C291Q.jpeg,0,1,correct!,1676
103119,13:02:08,1,24,5.0.14.0,3,14,block3,pretrainWithFeedback,0,0,0,0,Solomon,1,3015,20,C292Q.jpeg,1,1,correct!,3045
103119,13:02:08,1,24,5.0.14.0,3,15,block3,pretrainWithFeedback,0,0,0,0,Hannah,1,3413,9,C191Q.jpeg,0,1,correct!,3444
103119,13:02:08,1,24,5.0.14.0,3,16,block3,pretrainWithFeedback,0,0,0,0,Jolene,1,2236,1,C11Q.jpeg,0,1,correct!,2259
103119,13:02:08,1,24,5.0.14.0,3,17,block3,pretrainWithFeedback,0,0,0,0,Bob,0,15459,10,C192Q.jpeg,0,10,Wrong! It's Bill,15500
103119,13:02:08,1,24,5.0.14.0,3,18,block3,pretrainWithFeedback,0,0,0,0,Sharon,0,5584,7,C171Q.jpeg,0,7,Wrong! It's Steph,5613
103119,13:02:08,1,24,5.0.14.0,3,19,block3,pretrainWithFeedback,0,0,0,0,Ashley,0,22606,17,C281Q.jpeg,0,17,Wrong! It's Shannon,22640
103119,13:02:08,1,24,5.0.14.0,3,20,block3,pretrainWithFeedback,0,0,0,0,Dennis,0,2403,16,C232Q.jpeg,0,16,Wrong! It's Chris,2428
103119,13:02:08,1,24,5.0.14.0,3,21,block3,pretrainWithFeedback,0,0,0,0,Bob,1,2025,6,C62Q.jpeg,4,1,correct!,2062
103119,13:02:08,1,24,5.0.14.0,3,22,block3,pretrainWithFeedback,0,0,0,0,Sarah,0,6342,21,C341Q.jpeg,0,21,Wrong! It's Vivian,6380
103119,13:02:08,1,24,5.0.14.0,3,23,block3,pretrainWithFeedback,0,0,0,0,Magdalene,1,3029,15,C231Q.jpeg,0,1,correct!,3060
103119,13:02:08,1,24,5.0.14.0,3,24,block3,pretrainWithFeedback,0,0,0,0,Simon,1,9043,14,C222Q.jpeg,0,1,correct!,9067
103119,13:02:08,1,24,5.0.14.0,4,1,block4,pretrainWithFeedback,0,0,0,0,Vivian,0,4753,7,C171Q.jpeg,3,7,Wrong! It's Steph,4780
103119,13:02:08,1,24,5.0.14.0,4,2,block4,pretrainWithFeedback,0,0,0,0,Simon,1,3550,14,C222Q.jpeg,1,1,correct!,3580
103119,13:02:08,1,24,5.0.14.0,4,3,block4,pretrainWithFeedback,0,0,0,0,Jolene,1,2610,1,C11Q.jpeg,0,1,correct!,2644
103119,13:02:08,1,24,5.0.14.0,4,4,block4,pretrainWithFeedback,0,0,0,0,Camille,1,2382,11,C201Q.jpeg,0,1,correct!,2412
103119,13:02:08,1,24,5.0.14.0,4,5,block4,pretrainWithFeedback,0,0,0,0,Hannah,1,2126,9,C191Q.jpeg,0,1,correct!,2162
103119,13:02:08,1,24,5.0.14.0,4,6,block4,pretrainWithFeedback,0,0,0,0,Doreen,1,1880,13,C221Q.jpeg,1,1,correct!,1910
103119,13:02:08,1,24,5.0.14.0,4,7,block4,pretrainWithFeedback,0,0,0,0,Jim,0,5554,10,C192Q.jpeg,0,10,Wrong! It's Bill,5579
103119,13:02:08,1,24,5.0.14.0,4,8,block4,pretrainWithFeedback,0,0,0,0,Beth,1,1703,3,C21Q.jpeg,0,1,correct!,1726
103119,13:02:08,1,24,5.0.14.0,4,9,block4,pretrainWithFeedback,0,0,0,0,Shannon,1,4406,17,C281Q.jpeg,1,1,correct!,4429
103119,13:02:08,1,24,5.0.14.0,4,10,block4,pretrainWithFeedback,0,0,0,0,Bill,0,4884,8,C172Q.jpeg,4,8,Wrong! It's Harold,4910
103119,13:02:08,1,24,5.0.14.0,4,11,block4,pretrainWithFeedback,0,0,0,0,Magdalene,1,3062,15,C231Q.jpeg,1,1,correct!,3097
103119,13:02:08,1,24,5.0.14.0,4,12,block4,pretrainWithFeedback,0,0,0,0,Jeffrey,1,2272,2,C12Q.jpeg,4,1,correct!,2310
103119,13:02:08,1,24,5.0.14.0,4,13,block4,pretrainWithFeedback,0,0,0,0,Angela,1,3355,23,C381Q.jpeg,1,1,correct!,3395
103119,13:02:08,1,24,5.0.14.0,4,14,block4,pretrainWithFeedback,0,0,0,0,Vivian,1,5383,21,C341Q.jpeg,0,1,correct!,5412
103119,13:02:08,1,24,5.0.14.0,4,15,block4,pretrainWithFeedback,0,0,0,0,Vera,1,2390,19,C291Q.jpeg,4,1,correct!,2427
103119,13:02:08,1,24,5.0.14.0,4,16,block4,pretrainWithFeedback,0,0,0,0,Bob,1,2318,6,C62Q.jpeg,0,1,correct!,2344
103119,13:02:08,1,24,5.0.14.0,4,17,block4,pretrainWithFeedback,0,0,0,0,Dave,1,1637,24,C382Q.jpeg,4,1,correct!,1676
103119,13:02:08,1,24,5.0.14.0,4,18,block4,pretrainWithFeedback,0,0,0,0,Jennifer,1,2321,5,C61Q.jpeg,0,1,correct!,2346
103119,13:02:08,1,24,5.0.14.0,4,19,block4,pretrainWithFeedback,0,0,0,0,Tobias,1,2175,18,C282Q.jpeg,0,1,correct!,2195
103119,13:02:08,1,24,5.0.14.0,4,20,block4,pretrainWithFeedback,0,0,0,0,Jim,1,2660,4,C22Q.jpeg,5,1,correct!,2692
103119,13:02:08,1,24,5.0.14.0,4,21,block4,pretrainWithFeedback,0,0,0,0,Chris,1,2595,16,C232Q.jpeg,4,1,correct!,2630
103119,13:02:08,1,24,5.0.14.0,4,22,block4,pretrainWithFeedback,0,0,0,0,Dennis,1,2018,22,C342Q.jpeg,0,1,correct!,2046
103119,13:02:08,1,24,5.0.14.0,4,23,block4,pretrainWithFeedback,0,0,0,0,Solomon,1,2550,20,C292Q.jpeg,0,1,correct!,2576
103119,13:02:08,1,24,5.0.14.0,4,24,block4,pretrainWithFeedback,0,0,0,0,Felix,1,12578,12,C202Q.jpeg,3,1,correct!,12614
