192.7117 	DATA 	Keypress: equal
194.2108 	DATA 	Keypress: equal
195.7106 	DATA 	Keypress: equal
197.2121 	DATA 	Keypress: equal
198.7149 	DATA 	Keypress: equal
200.2108 	DATA 	Keypress: equal
201.7154 	DATA 	Keypress: equal
203.1988 	DATA 	Keypress: equal
204.6992 	DATA 	Keypress: equal
206.1994 	DATA 	Keypress: equal
207.6993 	DATA 	Keypress: equal
209.2157 	DATA 	Keypress: equal
210.7160 	DATA 	Keypress: equal
212.2106 	DATA 	Keypress: equal
213.7151 	DATA 	Keypress: equal
213.8659 	DATA 	Keypress: space
214.0185 	EXP 	New trial (rep=0, index=5): OrderedDict([('cue', 'stimsday2details/C2.png')])
214.0429 	EXP 	cueImage: autoDraw = False
214.0429 	EXP 	text: autoDraw = False
214.0429 	EXP 	cueImage: image = 'stimsday2details/C2.png'
214.0429 	EXP 	cueImage: autoDraw = True
214.0429 	EXP 	text: autoDraw = True
215.2153 	DATA 	Keypress: equal
216.6985 	DATA 	Keypress: equal
218.1986 	DATA 	Keypress: equal
219.6988 	DATA 	Keypress: equal
221.2029 	DATA 	Keypress: equal
222.6984 	DATA 	Keypress: equal
224.2144 	DATA 	Keypress: equal
225.7158 	DATA 	Keypress: equal
227.2156 	DATA 	Keypress: equal
228.7150 	DATA 	Keypress: equal
230.1980 	DATA 	Keypress: equal
231.7153 	DATA 	Keypress: equal
233.2156 	DATA 	Keypress: equal
234.7150 	DATA 	Keypress: equal
236.2153 	DATA 	Keypress: equal
237.7110 	DATA 	Keypress: equal
239.1982 	DATA 	Keypress: equal
240.6976 	DATA 	Keypress: equal
242.1980 	DATA 	Keypress: equal
243.6983 	DATA 	Keypress: equal
245.2101 	DATA 	Keypress: equal
246.7099 	DATA 	Keypress: equal
248.1981 	DATA 	Keypress: equal
249.7024 	DATA 	Keypress: equal
251.2020 	DATA 	Keypress: equal
252.7025 	DATA 	Keypress: equal
254.2098 	DATA 	Keypress: equal
255.6984 	DATA 	Keypress: equal
257.2007 	DATA 	Keypress: equal
258.7097 	DATA 	Keypress: equal
260.2098 	DATA 	Keypress: equal
261.6988 	DATA 	Keypress: equal
263.2140 	DATA 	Keypress: equal
264.7100 	DATA 	Keypress: equal
266.1980 	DATA 	Keypress: equal
266.7135 	DATA 	Keypress: space
266.8512 	EXP 	New trial (rep=0, index=6): OrderedDict([('cue', 'stimsday2details/C29.png')])
266.8755 	EXP 	cueImage: autoDraw = False
266.8755 	EXP 	text: autoDraw = False
266.8755 	EXP 	cueImage: image = 'stimsday2details/C29.png'
266.8755 	EXP 	cueImage: autoDraw = True
266.8755 	EXP 	text: autoDraw = True
267.7139 	DATA 	Keypress: equal
269.2102 	DATA 	Keypress: equal
270.7108 	DATA 	Keypress: equal
272.2144 	DATA 	Keypress: equal
273.7096 	DATA 	Keypress: equal
275.2145 	DATA 	Keypress: equal
276.6980 	DATA 	Keypress: equal
278.2145 	DATA 	Keypress: equal
279.7147 	DATA 	Keypress: equal
281.2150 	DATA 	Keypress: equal
282.6986 	DATA 	Keypress: equal
284.2099 	DATA 	Keypress: equal
285.6951 	DATA 	Keypress: equal
287.1958 	DATA 	Keypress: equal
288.7140 	DATA 	Keypress: equal
290.1949 	DATA 	Keypress: equal
291.6954 	DATA 	Keypress: equal
293.1974 	DATA 	Keypress: equal
294.7137 	DATA 	Keypress: equal
296.1958 	DATA 	Keypress: equal
297.6953 	DATA 	Keypress: equal
299.1947 	DATA 	Keypress: equal
300.7143 	DATA 	Keypress: equal
302.1946 	DATA 	Keypress: equal
303.6971 	DATA 	Keypress: equal
305.1974 	DATA 	Keypress: equal
306.6968 	DATA 	Keypress: equal
308.2140 	DATA 	Keypress: equal
309.6939 	DATA 	Keypress: equal
311.1946 	DATA 	Keypress: equal
312.6946 	DATA 	Keypress: equal
314.1939 	DATA 	Keypress: equal
315.6939 	DATA 	Keypress: equal
317.1940 	DATA 	Keypress: equal
318.6941 	DATA 	Keypress: equal
320.1969 	DATA 	Keypress: equal
321.6973 	DATA 	Keypress: equal
323.1940 	DATA 	Keypress: equal
324.6971 	DATA 	Keypress: equal
326.1939 	DATA 	Keypress: equal
327.6973 	DATA 	Keypress: equal
329.1976 	DATA 	Keypress: equal
329.3253 	DATA 	Keypress: space
329.4650 	EXP 	New trial (rep=0, index=7): OrderedDict([('cue', 'stimsday2details/C17.png')])
329.4916 	EXP 	cueImage: autoDraw = False
329.4916 	EXP 	text: autoDraw = False
329.4916 	EXP 	cueImage: image = 'stimsday2details/C17.png'
329.4916 	EXP 	cueImage: autoDraw = True
329.4916 	EXP 	text: autoDraw = True
330.6986 	DATA 	Keypress: equal
332.1939 	DATA 	Keypress: equal
333.6975 	DATA 	Keypress: equal
335.1978 	DATA 	Keypress: equal
336.6981 	DATA 	Keypress: equal
338.1974 	DATA 	Keypress: equal
339.6935 	DATA 	Keypress: equal
341.1975 	DATA 	Keypress: equal
342.6968 	DATA 	Keypress: equal
344.1938 	DATA 	Keypress: equal
345.6938 	DATA 	Keypress: equal
347.1936 	DATA 	Keypress: equal
348.6934 	DATA 	Keypress: equal
350.1928 	DATA 	Keypress: equal
351.6937 	DATA 	Keypress: equal
353.1930 	DATA 	Keypress: equal
354.6927 	DATA 	Keypress: equal
356.1928 	DATA 	Keypress: equal
357.6938 	DATA 	Keypress: equal
359.1921 	DATA 	Keypress: equal
360.6965 	DATA 	Keypress: equal
362.1921 	DATA 	Keypress: equal
363.6964 	DATA 	Keypress: equal
365.2007 	DATA 	Keypress: equal
366.7013 	DATA 	Keypress: equal
368.2014 	DATA 	Keypress: equal
369.6919 	DATA 	Keypress: equal
371.1922 	DATA 	Keypress: equal
372.6920 	DATA 	Keypress: equal
374.1961 	DATA 	Keypress: equal
375.6925 	DATA 	Keypress: equal
377.1933 	DATA 	Keypress: equal
378.7016 	DATA 	Keypress: equal
380.1967 	DATA 	Keypress: equal
381.6967 	DATA 	Keypress: equal
383.1966 	DATA 	Keypress: equal
384.6960 	DATA 	Keypress: equal
386.1962 	DATA 	Keypress: equal
387.6966 	DATA 	Keypress: equal
389.1960 	DATA 	Keypress: equal
390.0460 	DATA 	Keypress: space
390.1867 	EXP 	New trial (rep=0, index=8): OrderedDict([('cue', 'stimsday2details/C6.png')])
390.2072 	EXP 	cueImage: autoDraw = False
390.2072 	EXP 	text: autoDraw = False
390.2072 	EXP 	cueImage: image = 'stimsday2details/C6.png'
390.2072 	EXP 	cueImage: autoDraw = True
390.2072 	EXP 	text: autoDraw = True
390.6913 	DATA 	Keypress: equal
392.1921 	DATA 	Keypress: equal
393.6923 	DATA 	Keypress: equal
395.1961 	DATA 	Keypress: equal
396.6923 	DATA 	Keypress: equal
398.1961 	DATA 	Keypress: equal
399.7004 	DATA 	Keypress: equal
401.1965 	DATA 	Keypress: equal
402.6967 	DATA 	Keypress: equal
404.1955 	DATA 	Keypress: equal
405.6959 	DATA 	Keypress: equal
407.1915 	DATA 	Keypress: equal
408.6962 	DATA 	Keypress: equal
410.1912 	DATA 	Keypress: equal
410.5417 	DATA 	Keypress: space
410.6748 	EXP 	New trial (rep=0, index=9): OrderedDict([('cue', 'stimsday2details/C19.png')])
410.6951 	EXP 	cueImage: autoDraw = False
410.6951 	EXP 	text: autoDraw = False
410.6951 	EXP 	cueImage: image = 'stimsday2details/C19.png'
410.6951 	EXP 	cueImage: autoDraw = True
410.6951 	EXP 	text: autoDraw = True
411.6959 	DATA 	Keypress: equal
413.1913 	DATA 	Keypress: equal
414.7018 	DATA 	Keypress: equal
416.1969 	DATA 	Keypress: equal
417.6968 	DATA 	Keypress: equal
419.1912 	DATA 	Keypress: equal
420.6912 	DATA 	Keypress: equal
422.1914 	DATA 	Keypress: equal
423.6913 	DATA 	Keypress: equal
425.1911 	DATA 	Keypress: equal
426.6909 	DATA 	Keypress: equal
428.1909 	DATA 	Keypress: equal
429.6965 	DATA 	Keypress: equal
431.1965 	DATA 	Keypress: equal
432.6961 	DATA 	Keypress: equal
434.1912 	DATA 	Keypress: equal
435.6916 	DATA 	Keypress: equal
437.1922 	DATA 	Keypress: equal
438.6916 	DATA 	Keypress: equal
440.1915 	DATA 	Keypress: equal
441.6095 	DATA 	Keypress: space
441.7617 	EXP 	New trial (rep=0, index=10): OrderedDict([('cue', 'stimsday2details/C34.png')])
441.7729 	DATA 	Keypress: equal
441.7903 	EXP 	cueImage: autoDraw = False
441.7903 	EXP 	text: autoDraw = False
441.7903 	EXP 	cueImage: image = 'stimsday2details/C34.png'
441.7903 	EXP 	cueImage: autoDraw = True
441.7903 	EXP 	text: autoDraw = True
443.1917 	DATA 	Keypress: equal
444.6953 	DATA 	Keypress: equal
446.1956 	DATA 	Keypress: equal
447.6960 	DATA 	Keypress: equal
449.1914 	DATA 	Keypress: equal
450.6914 	DATA 	Keypress: equal
452.1952 	DATA 	Keypress: equal
453.7008 	DATA 	Keypress: equal
455.1962 	DATA 	Keypress: equal
456.7006 	DATA 	Keypress: equal
458.1999 	DATA 	Keypress: equal
459.6914 	DATA 	Keypress: equal
461.1914 	DATA 	Keypress: equal
462.6912 	DATA 	Keypress: equal
