213.6249 	DATA 	Keypress: equal
215.1205 	DATA 	Keypress: equal
216.6249 	DATA 	Keypress: equal
218.1251 	DATA 	Keypress: equal
219.6086 	DATA 	Keypress: equal
221.1088 	DATA 	Keypress: equal
222.6088 	DATA 	Keypress: equal
224.1082 	DATA 	Keypress: equal
225.6250 	DATA 	Keypress: equal
227.1248 	DATA 	Keypress: equal
228.6081 	DATA 	Keypress: equal
230.1075 	DATA 	Keypress: equal
231.6247 	DATA 	Keypress: equal
233.0031 	DATA 	Keypress: space
233.1513 	EXP 	New trial (rep=0, index=4): OrderedDict([('cue', 'stimsday2details/C34.png')])
233.1628 	DATA 	Keypress: equal
233.1857 	EXP 	cueImage: autoDraw = False
233.1857 	EXP 	text: autoDraw = False
233.1857 	EXP 	cueImage: image = 'stimsday2details/C34.png'
233.1857 	EXP 	cueImage: autoDraw = True
233.1857 	EXP 	text: autoDraw = True
234.6243 	DATA 	Keypress: equal
236.1235 	DATA 	Keypress: equal
237.6203 	DATA 	Keypress: equal
239.1201 	DATA 	Keypress: equal
240.6239 	DATA 	Keypress: equal
242.1201 	DATA 	Keypress: equal
243.6085 	DATA 	Keypress: equal
245.1074 	DATA 	Keypress: equal
246.6079 	DATA 	Keypress: equal
248.1080 	DATA 	Keypress: equal
249.6118 	DATA 	Keypress: equal
251.1076 	DATA 	Keypress: equal
252.6248 	DATA 	Keypress: equal
254.1202 	DATA 	Keypress: equal
255.6189 	DATA 	Keypress: equal
257.1080 	DATA 	Keypress: equal
258.6073 	DATA 	Keypress: equal
260.1075 	DATA 	Keypress: equal
261.6079 	DATA 	Keypress: equal
263.1242 	DATA 	Keypress: equal
264.6244 	DATA 	Keypress: equal
266.1229 	DATA 	Keypress: equal
267.6244 	DATA 	Keypress: equal
269.1243 	DATA 	Keypress: equal
270.6194 	DATA 	Keypress: equal
272.1075 	DATA 	Keypress: equal
273.6078 	DATA 	Keypress: equal
275.1192 	DATA 	Keypress: equal
276.6192 	DATA 	Keypress: equal
278.1239 	DATA 	Keypress: equal
279.6241 	DATA 	Keypress: equal
281.1195 	DATA 	Keypress: equal
282.6242 	DATA 	Keypress: equal
284.1049 	DATA 	Keypress: equal
285.6192 	DATA 	Keypress: equal
286.2688 	DATA 	Keypress: space
286.4209 	EXP 	New trial (rep=0, index=5): OrderedDict([('cue', 'stimsday2details/C1.png')])
286.4518 	EXP 	cueImage: autoDraw = False
286.4518 	EXP 	text: autoDraw = False
286.4518 	EXP 	cueImage: image = 'stimsday2details/C1.png'
286.4518 	EXP 	cueImage: autoDraw = True
286.4518 	EXP 	text: autoDraw = True
287.1238 	DATA 	Keypress: equal
288.6232 	DATA 	Keypress: equal
290.1228 	DATA 	Keypress: equal
291.6044 	DATA 	Keypress: equal
293.1048 	DATA 	Keypress: equal
294.6076 	DATA 	Keypress: equal
296.1044 	DATA 	Keypress: equal
297.6044 	DATA 	Keypress: equal
299.1080 	DATA 	Keypress: equal
300.6234 	DATA 	Keypress: equal
302.1193 	DATA 	Keypress: equal
303.6239 	DATA 	Keypress: equal
305.1231 	DATA 	Keypress: equal
306.6046 	DATA 	Keypress: equal
308.1071 	DATA 	Keypress: equal
309.6071 	DATA 	Keypress: equal
311.1225 	DATA 	Keypress: equal
312.6047 	DATA 	Keypress: equal
314.1041 	DATA 	Keypress: equal
315.6068 	DATA 	Keypress: equal
317.1072 	DATA 	Keypress: equal
318.6066 	DATA 	Keypress: equal
320.1071 	DATA 	Keypress: equal
321.6070 	DATA 	Keypress: equal
323.1069 	DATA 	Keypress: equal
324.6070 	DATA 	Keypress: equal
326.1054 	DATA 	Keypress: equal
327.6061 	DATA 	Keypress: equal
329.1064 	DATA 	Keypress: equal
330.6093 	DATA 	Keypress: equal
332.1063 	DATA 	Keypress: equal
333.6065 	DATA 	Keypress: equal
335.1061 	DATA 	Keypress: equal
336.6073 	DATA 	Keypress: equal
338.1066 	DATA 	Keypress: equal
339.6069 	DATA 	Keypress: equal
341.1065 	DATA 	Keypress: equal
342.6068 	DATA 	Keypress: equal
344.1061 	DATA 	Keypress: equal
345.6032 	DATA 	Keypress: equal
347.1070 	DATA 	Keypress: equal
348.6074 	DATA 	Keypress: equal
350.1034 	DATA 	Keypress: equal
351.6027 	DATA 	Keypress: equal
353.1030 	DATA 	Keypress: equal
354.6033 	DATA 	Keypress: equal
356.1029 	DATA 	Keypress: equal
357.6035 	DATA 	Keypress: equal
359.1027 	DATA 	Keypress: equal
360.2894 	DATA 	Keypress: space
360.4224 	EXP 	New trial (rep=0, index=6): OrderedDict([('cue', 'stimsday2details/C17.png')])
360.4497 	EXP 	cueImage: autoDraw = False
360.4497 	EXP 	text: autoDraw = False
360.4497 	EXP 	cueImage: image = 'stimsday2details/C17.png'
360.4497 	EXP 	cueImage: autoDraw = True
360.4497 	EXP 	text: autoDraw = True
360.6016 	DATA 	Keypress: equal
362.1026 	DATA 	Keypress: equal
363.6024 	DATA 	Keypress: equal
365.1017 	DATA 	Keypress: equal
366.6025 	DATA 	Keypress: equal
368.1023 	DATA 	Keypress: equal
369.6016 	DATA 	Keypress: equal
371.1019 	DATA 	Keypress: equal
