217.6925 	EXP 	New trial (rep=0, index=5): OrderedDict([('cue', 'stimsday2details/C1.png')])
217.7150 	EXP 	cueImage: autoDraw = False
217.7150 	EXP 	text: autoDraw = False
217.7150 	EXP 	cueImage: image = 'stimsday2details/C1.png'
217.7150 	EXP 	cueImage: autoDraw = True
217.7150 	EXP 	text: autoDraw = True
218.6502 	DATA 	Keypress: equal
220.1502 	DATA 	Keypress: equal
221.6505 	DATA 	Keypress: equal
223.1501 	DATA 	Keypress: equal
224.6499 	DATA 	Keypress: equal
226.1501 	DATA 	Keypress: equal
227.6499 	DATA 	Keypress: equal
229.1499 	DATA 	Keypress: equal
230.6498 	DATA 	Keypress: equal
232.1498 	DATA 	Keypress: equal
233.6500 	DATA 	Keypress: equal
235.1498 	DATA 	Keypress: equal
236.6497 	DATA 	Keypress: equal
238.1499 	DATA 	Keypress: equal
239.6497 	DATA 	Keypress: equal
241.1496 	DATA 	Keypress: equal
242.6497 	DATA 	Keypress: equal
244.1496 	DATA 	Keypress: equal
245.6500 	DATA 	Keypress: equal
247.1497 	DATA 	Keypress: equal
248.6499 	DATA 	Keypress: equal
250.1496 	DATA 	Keypress: equal
251.6496 	DATA 	Keypress: equal
253.1496 	DATA 	Keypress: equal
254.0828 	DATA 	Keypress: space
254.2290 	EXP 	New trial (rep=0, index=6): OrderedDict([('cue', 'stimsday2details/C19.png')])
254.2479 	EXP 	cueImage: autoDraw = False
254.2479 	EXP 	text: autoDraw = False
254.2479 	EXP 	cueImage: image = 'stimsday2details/C19.png'
254.2479 	EXP 	cueImage: autoDraw = True
254.2479 	EXP 	text: autoDraw = True
254.6495 	DATA 	Keypress: equal
256.1498 	DATA 	Keypress: equal
257.6497 	DATA 	Keypress: equal
259.1493 	DATA 	Keypress: equal
260.6494 	DATA 	Keypress: equal
262.1494 	DATA 	Keypress: equal
263.6499 	DATA 	Keypress: equal
265.1494 	DATA 	Keypress: equal
266.6496 	DATA 	Keypress: equal
