341.6095 	DATA 	Keypress: equal
343.1095 	DATA 	Keypress: equal
344.6094 	DATA 	Keypress: equal
346.1094 	DATA 	Keypress: equal
347.6094 	DATA 	Keypress: equal
349.1094 	DATA 	Keypress: equal
350.6094 	DATA 	Keypress: equal
352.1093 	DATA 	Keypress: equal
352.9426 	DATA 	Keypress: space
353.0877 	EXP 	New trial (rep=0, index=4): OrderedDict([('cue', 'stimsday2details/C6.png')])
353.1074 	EXP 	cueImage: autoDraw = False
353.1074 	EXP 	text: autoDraw = False
353.1074 	EXP 	cueImage: image = 'stimsday2details/C6.png'
353.1074 	EXP 	cueImage: autoDraw = True
353.1074 	EXP 	text: autoDraw = True
353.6094 	DATA 	Keypress: equal
355.1093 	DATA 	Keypress: equal
356.6093 	DATA 	Keypress: equal
358.1093 	DATA 	Keypress: equal
359.6092 	DATA 	Keypress: equal
361.1091 	DATA 	Keypress: equal
362.6092 	DATA 	Keypress: equal
364.1091 	DATA 	Keypress: equal
365.6092 	DATA 	Keypress: equal
367.1091 	DATA 	Keypress: equal
368.6091 	DATA 	Keypress: equal
370.1090 	DATA 	Keypress: equal
371.6090 	DATA 	Keypress: equal
373.1091 	DATA 	Keypress: equal
374.6090 	DATA 	Keypress: equal
376.1090 	DATA 	Keypress: equal
377.6089 	DATA 	Keypress: equal
379.1090 	DATA 	Keypress: equal
380.6090 	DATA 	Keypress: equal
382.1090 	DATA 	Keypress: equal
383.6089 	DATA 	Keypress: equal
385.1093 	DATA 	Keypress: equal
386.6089 	DATA 	Keypress: equal
388.1089 	DATA 	Keypress: equal
389.6089 	DATA 	Keypress: equal
391.1089 	DATA 	Keypress: equal
392.6088 	DATA 	Keypress: equal
394.1088 	DATA 	Keypress: equal
395.6088 	DATA 	Keypress: equal
397.1091 	DATA 	Keypress: equal
398.6089 	DATA 	Keypress: equal
400.1087 	DATA 	Keypress: equal
401.6090 	DATA 	Keypress: equal
403.1087 	DATA 	Keypress: equal
404.6086 	DATA 	Keypress: equal
406.1087 	DATA 	Keypress: equal
407.6086 	DATA 	Keypress: equal
409.1088 	DATA 	Keypress: equal
410.6086 	DATA 	Keypress: equal
412.1086 	DATA 	Keypress: equal
413.6088 	DATA 	Keypress: equal
414.0081 	DATA 	Keypress: space
414.1546 	EXP 	New trial (rep=0, index=5): OrderedDict([('cue', 'stimsday2details/C17.png')])
414.1733 	EXP 	cueImage: autoDraw = False
414.1733 	EXP 	text: autoDraw = False
414.1733 	EXP 	cueImage: image = 'stimsday2details/C17.png'
414.1733 	EXP 	cueImage: autoDraw = True
414.1733 	EXP 	text: autoDraw = True
415.1086 	DATA 	Keypress: equal
416.6087 	DATA 	Keypress: equal
418.1085 	DATA 	Keypress: equal
419.6085 	DATA 	Keypress: equal
421.1083 	DATA 	Keypress: equal
422.6085 	DATA 	Keypress: equal
424.1085 	DATA 	Keypress: equal
425.6084 	DATA 	Keypress: equal
427.1085 	DATA 	Keypress: equal
428.6085 	DATA 	Keypress: equal
430.1083 	DATA 	Keypress: equal
431.6083 	DATA 	Keypress: equal
433.1084 	DATA 	Keypress: equal
434.6084 	DATA 	Keypress: equal
436.1082 	DATA 	Keypress: equal
437.6083 	DATA 	Keypress: equal
439.1083 	DATA 	Keypress: equal
440.6084 	DATA 	Keypress: equal
442.1082 	DATA 	Keypress: equal
443.6082 	DATA 	Keypress: equal
445.1082 	DATA 	Keypress: equal
446.6081 	DATA 	Keypress: equal
448.1082 	DATA 	Keypress: equal
449.6080 	DATA 	Keypress: equal
451.1081 	DATA 	Keypress: equal
452.6082 	DATA 	Keypress: equal
454.1080 	DATA 	Keypress: equal
455.6079 	DATA 	Keypress: equal
457.1081 	DATA 	Keypress: equal
458.6080 	DATA 	Keypress: equal
460.1080 	DATA 	Keypress: equal
461.6080 	DATA 	Keypress: equal
463.1079 	DATA 	Keypress: equal
464.6082 	DATA 	Keypress: equal
464.9408 	DATA 	Keypress: space
465.0802 	EXP 	New trial (rep=0, index=6): OrderedDict([('cue', 'stimsday2details/C29.png')])
465.1061 	EXP 	cueImage: autoDraw = False
465.1061 	EXP 	text: autoDraw = False
465.1061 	EXP 	cueImage: image = 'stimsday2details/C29.png'
465.1061 	EXP 	cueImage: autoDraw = True
465.1061 	EXP 	text: autoDraw = True
466.1079 	DATA 	Keypress: equal
467.6080 	DATA 	Keypress: equal
469.1078 	DATA 	Keypress: equal
470.6078 	DATA 	Keypress: equal
472.1078 	DATA 	Keypress: equal
473.6078 	DATA 	Keypress: equal
475.1078 	DATA 	Keypress: equal
476.6078 	DATA 	Keypress: equal
478.1078 	DATA 	Keypress: equal
479.6079 	DATA 	Keypress: equal
481.1078 	DATA 	Keypress: equal
482.6077 	DATA 	Keypress: equal
484.1077 	DATA 	Keypress: equal
485.6077 	DATA 	Keypress: equal
487.1077 	DATA 	Keypress: equal
488.6076 	DATA 	Keypress: equal
490.1076 	DATA 	Keypress: equal
491.6076 	DATA 	Keypress: equal
493.1076 	DATA 	Keypress: equal
494.6075 	DATA 	Keypress: equal
496.1075 	DATA 	Keypress: equal
497.6075 	DATA 	Keypress: equal
499.1076 	DATA 	Keypress: equal
500.6075 	DATA 	Keypress: equal
502.1075 	DATA 	Keypress: equal
503.6074 	DATA 	Keypress: equal
505.1075 	DATA 	Keypress: equal
506.6074 	DATA 	Keypress: equal
508.1074 	DATA 	Keypress: equal
509.6074 	DATA 	Keypress: equal
511.1075 	DATA 	Keypress: equal
512.6072 	DATA 	Keypress: equal
514.1073 	DATA 	Keypress: equal
515.6073 	DATA 	Keypress: equal
517.1072 	DATA 	Keypress: equal
518.6073 	DATA 	Keypress: equal
520.1072 	DATA 	Keypress: equal
520.3907 	DATA 	Keypress: space
