,sub_num,wed_id,onset_recall2,offset_recall2,wed_class,wed_view_num,onset_videos,offset_videos,path
112,11,22,104,141,,-99,-99,-99,N/A
113,11,20,141,159,,-99,-99,-99,N/A
114,11,28,159,208,,-99,-99,-99,N/A
115,11,38,208,237,,-99,-99,-99,N/A
116,11,2,237,272,,-99,-99,-99,N/A
117,11,23,272,304,,-99,-99,-99,N/A
118,11,19,304,320,,-99,-99,-99,N/A
119,11,1,320,-1,,-99,-99,-99,N/A
120,12,23,0,15,N,6,591,663,NA
121,12,19,15,35,S,3,303,375,SA
122,12,6,35,62,N,2,207,279,NA
123,12,1,62,88,S,7,687,759,SB
124,12,20,88,118,N,10,976,1048,NB
125,12,34,118,149,S,0,12,90,SA
126,12,38,149,187,S,4,398,471,SB
127,12,29,187,223,S,8,783,856,SA
128,12,2,223,283,N,5,495,567,NB
129,12,28,283,347,N,9,879,952,NB
130,12,17,347,381,N,1,111,183,NA
131,12,22,381,-1,S,11,1074,1152,SB
132,13,22,0,30,S,11,1074,1152,SB
133,13,28,30,57,S,7,687,759,SA
134,13,23,57,73,S,0,12,90,SB
135,13,20,73,95,S,8,783,856,SA
136,13,1,95,122,S,4,398,471,SB
137,13,2,122,157,N,6,591,663,NB
138,13,29,157,199,N,5,495,567,NA
139,13,17,199,239,N,10,976,1048,NA
140,13,6,239,253,N,9,879,952,NB
141,13,19,253,274,S,3,303,375,SA
142,13,34,274,292,N,2,207,279,NB
143,13,38,292,-1,N,1,111,183,NA
144,14,23,0,20,S,7,687,759,SA
145,14,29,20,44,N,5,495,567,NA
146,14,20,44,65,S,3,303,375,SB
147,14,1,65,100,S,4,398,471,SB
148,14,19,100,136,N,2,207,279,NA
149,14,17,136,155,N,10,976,1048,NB
150,14,28,155,188,N,1,111,183,NB
151,14,6,188,216,S,11,1074,1152,SB
152,14,22,216,262,S,0,12,90,SA
153,14,38,262,298,N,6,591,663,NA
154,14,34,298,326,N,9,879,952,NB
155,14,2,326,-1,S,8,783,856,SA
156,15,20,0,76,N,9,879,952,NB
157,15,38,76,180,S,7,687,759,SB
158,15,19,180,264,S,3,303,375,SB
159,15,1,264,363,N,1,111,183,NA
160,15,28,363,478,N,6,591,663,NA
161,15,22,478,645,S,8,783,856,SA
162,15,6,645,810,N,5,495,567,NB
163,15,29,810,882,N,10,976,1048,NA
164,15,2,882,1042,N,2,207,279,NB
165,15,17,1042,1111,S,4,398,471,SA
166,15,34,1111,1191,S,0,12,90,SA
167,15,23,1191,-1,S,11,1074,1152,SB
168,17,34,0,47,N,5,495,567,NB
169,17,38,47,87,S,8,783,856,SA
170,17,19,87,155,N,1,111,183,NB
171,17,2,155,209,N,6,591,663,NA
172,17,17,209,270,N,9,879,952,NB
173,17,22,270,335,S,0,12,90,SB
174,17,1,335,382,S,7,687,759,SA
175,17,29,382,421,N,2,207,279,NA
176,17,28,421,478,S,11,1074,1152,SB
177,17,20,478,529,S,3,303,375,SA
178,17,23,529,570,N,10,976,1048,NA
179,17,6,570,-1,S,4,398,471,SB
180,18,20,0,16,N,6,591,663,NA
181,18,29,16,30,S,0,12,90,SB
182,18,22,30,48,N,1,111,183,NA
183,18,2,48,67,S,7,687,759,SA
184,18,1,67,85,N,9,879,952,NB
185,18,17,85,108,S,3,303,375,SA
186,18,38,108,124,S,8,783,856,SB
187,18,34,124,138,S,4,398,471,SA
188,18,6,138,157,N,10,976,1048,NA
189,18,28,157,170,N,5,495,567,NB
190,18,23,170,181,S,11,1074,1152,SB
191,18,19,181,-1,N,2,207,279,NB
192,19,22,0,26,S,7,687,759,SA
193,19,29,26,60,N,5,495,567,NA
194,19,1,60,102,S,3,303,375,SA
195,19,19,102,142,S,11,1074,1152,SA
196,19,34,142,174,N,10,976,1048,NA
197,19,28,174,205,N,1,111,183,NB
198,19,38,205,239,S,4,398,471,SB
199,19,17,239,266,N,2,207,279,NB
200,19,23,266,301,S,8,783,856,SB
201,19,6,301,338,N,9,879,952,NB
202,19,2,338,366,N,6,591,663,NA
203,19,20,366,-1,S,0,12,90,SB
204,22,17,0,25,S,11,1074,1152,SB
205,22,34,25,48,S,7,687,759,SB
206,22,22,48,67,N,2,207,279,NB
207,22,2,67,84,S,4,398,471,SA
208,22,29,84,105,N,10,976,1048,NA
209,22,20,105,130,S,3,303,375,SA
210,22,23,130,154,N,5,495,567,NA
211,22,1,154,172,N,6,591,663,NB
212,22,19,172,204,S,8,783,856,SA
213,22,28,204,229,S,0,12,90,SB
214,22,6,229,245,N,9,879,952,NB
215,22,38,245,-1,N,1,111,183,NA
216,23,20,0,32,N,10,976,1048,NB
217,23,28,32,74,S,0,12,90,SA
218,23,34,74,101,N,5,495,567,NB
219,23,17,101,119,N,9,879,952,NA
220,23,6,119,165,N,2,207,279,NA
221,23,2,165,209,S,4,398,471,SB
222,23,23,209,253,N,6,591,663,NB
223,23,38,253,275,S,3,303,375,SA
224,23,29,275,305,S,11,1074,1152,SB
225,23,19,305,333,S,8,783,856,SB
226,23,22,333,350,N,1,111,183,NA
227,23,1,350,-1,S,7,687,759,SA
228,24,22,0,73,S,0,12,90,SA
229,24,28,73,137,N,9,879,952,NA
230,24,2,137,232,S,4,398,471,SA
231,24,34,232,301,S,3,303,375,SA
232,24,23,301,395,N,5,495,567,NA
233,24,17,395,485,N,2,207,279,NA
234,24,29,485,569,N,10,976,1048,NB
235,24,19,569,679,S,11,1074,1152,SB
236,24,20,679,728,N,1,111,183,NB
237,24,1,728,823,N,6,591,663,NB
238,24,6,823,919,S,8,783,856,SB
239,24,38,919,-1,S,7,687,759,SB
240,25,19,0,24,N,1,111,183,NA
241,25,17,24,66,S,3,303,375,SB
242,25,1,66,110,S,11,1074,1152,SB
243,25,28,110,144,N,2,207,279,NB
244,25,23,144,172,S,8,783,856,SA
245,25,34,172,197,S,7,687,759,SB
246,25,20,197,221,S,0,12,90,SA
247,25,2,221,247,S,4,398,471,SA
248,25,29,247,266,N,10,976,1048,NA
249,25,38,266,285,N,6,591,663,NB
250,25,22,285,305,N,9,879,952,NB
251,25,6,305,-1,N,5,495,567,NA
252,26,17,0,39,N,10,976,1048,NA
253,26,1,39,83,S,11,1074,1152,SA
254,26,34,83,116,N,6,591,663,NA
255,26,2,116,145,S,7,687,759,SB
256,26,38,145,170,N,1,111,183,NB
257,26,29,170,204,S,3,303,375,SA
258,26,28,204,235,S,8,783,856,SA
259,26,19,235,272,S,4,398,471,SB
260,26,6,272,301,N,9,879,952,NB
261,26,23,301,332,N,5,495,567,NB
262,26,22,332,376,S,0,12,90,SB
263,26,20,376,-1,N,2,207,279,NA
264,27,17,0,23,S,8,783,856,SB
265,27,22,23,36,S,0,12,90,SA
266,27,2,36,52,N,6,591,663,NB
267,27,23,52,72,S,3,303,375,SB
268,27,38,72,91,S,11,1074,1152,SB
269,27,1,91,109,N,5,495,567,NB
270,27,28,109,124,N,9,879,952,NA
271,27,29,124,164,N,1,111,183,NB
272,27,34,164,180,N,2,207,279,NA
273,27,6,180,203,S,7,687,759,SA
274,27,20,203,258,S,4,398,471,SA
275,27,19,258,-1,N,10,976,1048,NA
276,28,23,0,31,N,10,976,1048,NB
277,28,19,31,65,N,5,495,567,NA
278,28,2,65,96,S,4,398,471,SA
279,28,34,96,118,S,7,687,759,SA
280,28,20,118,160,N,9,879,952,NB
281,28,6,160,204,S,3,303,375,SB
282,28,28,204,242,N,1,111,183,NA
283,28,22,242,303,S,0,12,90,SB
284,28,17,303,337,N,2,207,279,NB
285,28,38,337,389,S,8,783,856,SB
286,28,1,389,418,N,6,591,663,NA
287,28,29,418,-1,S,11,1074,1152,SA
288,29,6,0,40,S,4,398,471,SA
289,29,20,40,83,S,7,687,759,SB
290,29,22,83,134,S,0,12,90,SB
291,29,38,134,178,N,9,879,952,NB
292,29,23,178,205,S,3,303,375,SB
293,29,34,205,247,N,1,111,183,NA
294,29,1,247,303,S,8,783,856,SA
295,29,28,303,336,N,6,591,663,NA
296,29,2,336,374,N,5,495,567,NA
297,29,17,374,408,N,10,976,1048,NB
298,29,29,408,440,S,11,1074,1152,SA
299,29,19,440,-1,N,2,207,279,NB
