,sub_num,wed_id,onset_TR,offset_TR,wed_class
95,9,22,175,-1,S
96,10,38,0,29,S
97,10,22,29,79,N
98,10,34,79,113,S
99,10,20,113,147,N
100,10,17,147,170,S
101,10,23,170,205,N
102,10,19,205,235,N
103,10,6,235,266,N
104,10,1,266,321,S
105,10,28,321,354,S
106,10,2,354,390,N
107,10,29,390,-1,S
108,11,29,0,38,
109,11,17,38,53,
110,11,6,53,81,
111,11,34,81,104,
112,11,22,104,141,
113,11,20,141,159,
114,11,28,159,208,
115,11,38,208,237,
116,11,2,237,272,
117,11,23,272,304,
118,11,19,304,320,
119,11,1,320,-1,
120,12,23,0,15,N
121,12,19,15,35,S
122,12,6,35,62,N
123,12,1,62,88,S
124,12,20,88,118,N
125,12,34,118,149,S
126,12,38,149,187,S
127,12,29,187,223,S
128,12,2,223,283,N
129,12,28,283,347,N
130,12,17,347,381,N
131,12,22,381,-1,S
132,13,22,0,30,S
133,13,28,30,57,S
134,13,23,57,73,S
135,13,20,73,95,S
136,13,1,95,122,S
137,13,2,122,157,N
138,13,29,157,199,N
139,13,17,199,239,N
140,13,6,239,253,N
141,13,19,253,274,S
142,13,34,274,292,N
143,13,38,292,-1,N
144,14,23,0,20,S
145,14,29,20,44,N
146,14,20,44,65,S
147,14,1,65,100,S
148,14,19,100,136,N
149,14,17,136,155,N
150,14,28,155,188,N
151,14,6,188,216,S
152,14,22,216,262,S
153,14,38,262,298,N
154,14,34,298,326,N
155,14,2,326,-1,S
156,15,20,0,76,N
157,15,38,76,180,S
158,15,19,180,264,S
159,15,1,264,363,N
160,15,28,363,478,N
161,15,22,478,645,S
162,15,6,645,810,N
163,15,29,810,882,N
164,15,2,882,1042,N
165,15,17,1042,1111,S
166,15,34,1111,1191,S
167,15,23,1191,-1,S
168,17,34,0,47,N
169,17,38,47,87,S
170,17,19,87,155,N
171,17,2,155,209,N
172,17,17,209,270,N
173,17,22,270,335,S
174,17,1,335,382,S
175,17,29,382,421,N
176,17,28,421,478,S
177,17,20,478,529,S
178,17,23,529,570,N
179,17,6,570,-1,S
180,18,20,0,16,N
181,18,29,16,30,S
182,18,22,30,48,N
183,18,2,48,67,S
184,18,1,67,85,N
185,18,17,85,108,S
186,18,38,108,124,S
187,18,34,124,138,S
188,18,6,138,157,N
189,18,28,157,170,N
190,18,23,170,181,S
191,18,19,181,-1,N
192,19,22,0,26,S
193,19,29,26,60,N
194,19,1,60,102,S
195,19,19,102,142,S
196,19,34,142,174,N
197,19,28,174,205,N
198,19,38,205,239,S
199,19,17,239,266,N
200,19,23,266,301,S
201,19,6,301,338,N
202,19,2,338,366,N
203,19,20,366,-1,S
204,22,17,0,25,S
205,22,34,25,48,S
206,22,22,48,67,N
207,22,2,67,84,S
208,22,29,84,105,N
209,22,20,105,130,S
210,22,23,130,154,N
