,NorS,wed_id,wed_num,sub_num
156,S,22,0,17
157,N,19,1,17
158,N,29,2,17
159,S,20,3,17
160,S,6,4,17
161,N,34,5,17
162,N,2,6,17
163,S,1,7,17
164,S,38,8,17
165,N,17,9,17
166,N,23,10,17
167,S,28,11,17
168,S,29,0,18
169,N,22,1,18
170,N,19,2,18
171,S,17,3,18
172,S,34,4,18
173,N,28,5,18
174,N,20,6,18
175,S,2,7,18
176,S,38,8,18
177,N,1,9,18
178,N,6,10,18
179,S,23,11,18
180,S,20,0,19
181,N,28,1,19
182,N,17,2,19
183,S,1,3,19
184,S,38,4,19
185,N,29,5,19
186,N,2,6,19
187,S,22,7,19
188,S,23,8,19
189,N,6,9,19
190,N,34,10,19
191,S,19,11,19
192,S,28,0,22
193,N,38,1,22
194,N,22,2,22
195,S,20,3,22
196,S,2,4,22
197,N,23,5,22
198,N,1,6,22
199,S,34,7,22
200,S,19,8,22
201,N,6,9,22
202,N,29,10,22
203,S,17,11,22
204,S,28,0,23
205,N,22,1,23
206,N,6,2,23
207,S,38,3,23
208,S,2,4,23
209,N,34,5,23
210,N,23,6,23
211,S,1,7,23
212,S,19,8,23
213,N,17,9,23
214,N,20,10,23
215,S,29,11,23
216,S,22,0,24
217,N,20,1,24
218,N,17,2,24
219,S,34,3,24
220,S,2,4,24
221,N,23,5,24
222,N,1,6,24
223,S,38,7,24
224,S,6,8,24
225,N,28,9,24
226,N,29,10,24
227,S,19,11,24
228,S,20,0,25
229,N,19,1,25
230,N,28,2,25
231,S,17,3,25
232,S,2,4,25
233,N,6,5,25
234,N,38,6,25
235,S,34,7,25
236,S,23,8,25
237,N,22,9,25
238,N,29,10,25
239,S,1,11,25
240,S,22,0,26
241,N,38,1,26
242,N,20,2,26
243,S,29,3,26
244,S,19,4,26
245,N,23,5,26
246,N,34,6,26
247,S,2,7,26
248,S,28,8,26
249,N,6,9,26
250,N,17,10,26
251,S,1,11,26
252,S,22,0,27
253,N,29,1,27
254,N,34,2,27
255,S,23,3,27
256,S,20,4,27
257,N,1,5,27
258,N,2,6,27
259,S,6,7,27
260,S,17,8,27
261,N,28,9,27
262,N,19,10,27
263,S,38,11,27
264,S,22,0,28
265,N,28,1,28
266,N,17,2,28
267,S,6,3,28
268,S,2,4,28
269,N,19,5,28
270,N,1,6,28
271,S,34,7,28
272,S,38,8,28
273,N,20,9,28
274,N,23,10,28
275,S,29,11,28
276,S,22,0,29
277,N,34,1,29
278,N,19,2,29
279,S,23,3,29
280,S,6,4,29
281,N,2,5,29
282,N,28,6,29
283,S,20,7,29
284,S,1,8,29
285,N,38,9,29
286,N,17,10,29
287,S,29,11,29
288,S,38,0,30
289,N,20,1,30
290,N,17,2,30
291,S,22,3,30
292,S,28,4,30
293,N,1,5,30
294,N,34,6,30
295,S,2,7,30
296,S,29,8,30
297,N,23,9,30
298,N,19,10,30
299,S,6,11,30
300,S,17,0,31
301,N,2,1,31
302,N,29,2,31
303,S,38,3,31
304,S,1,4,31
305,N,22,5,31
306,N,28,6,31
307,S,20,7,31
308,S,34,8,31
309,N,19,9,31
310,N,23,10,31
311,S,6,11,31
312,S,29,0,32
313,N,34,1,32
314,N,17,2,32
315,S,20,3,32
316,S,2,4,32
317,N,19,5,32
318,N,23,6,32
319,S,38,7,32
320,S,6,8,32
321,N,28,9,32
322,N,1,10,32
323,S,22,11,32
324,S,23,0,33
325,N,1,1,33
326,N,28,2,33
327,S,34,3,33
328,S,6,4,33
329,N,20,5,33
330,N,2,6,33
331,S,17,7,33
332,S,22,8,33
333,N,38,9,33
334,N,29,10,33
335,S,19,11,33
336,S,28,0,34
337,N,6,1,34
338,N,1,2,34
339,S,20,3,34
340,S,22,4,34
341,N,2,5,34
342,N,29,6,34
343,S,38,7,34
344,S,34,8,34
345,N,19,9,34
346,N,17,10,34
347,S,23,11,34
348,S,1,0,35
349,N,23,1,35
350,N,29,2,35
351,S,2,3,35
352,S,6,4,35
353,N,38,5,35
354,N,17,6,35
355,S,19,7,35
356,S,22,8,35
357,N,28,9,35
358,N,34,10,35
359,S,20,11,35
360,S,2,0,36
361,N,17,1,36
362,N,1,2,36
363,S,6,3,36
364,S,23,4,36
365,N,19,5,36
366,N,28,6,36
367,S,22,7,36
368,S,34,8,36
369,N,38,9,36
370,N,29,10,36
371,S,20,11,36
372,S,23,0,38
373,N,29,1,38
374,N,1,2,38
375,S,22,3,38
376,S,2,4,38
377,N,19,5,38
378,N,17,6,38
379,S,38,7,38
380,S,20,8,38
381,N,6,9,38
382,N,28,10,38
383,S,34,11,38
384,S,6,0,40
385,N,1,1,40
386,N,28,2,40
387,S,22,3,40
388,S,17,4,40
389,N,29,5,40
390,N,2,6,40
391,S,23,7,40
392,S,20,8,40
393,N,34,9,40
394,N,38,10,40
395,S,19,11,40
396,S,17,0,41
397,N,6,1,41
398,N,22,2,41
399,S,34,3,41
400,S,38,4,41
401,N,1,5,41
402,N,19,6,41
403,S,20,7,41
404,S,23,8,41
405,N,29,9,41
406,N,28,10,41
407,S,2,11,41
408,S,20,0,42
409,N,28,1,42
410,N,2,2,42
411,S,34,3,42
412,S,17,4,42
413,N,1,5,42
414,N,19,6,42
415,S,23,7,42
416,S,38,8,42
417,N,6,9,42
418,N,22,10,42
419,S,29,11,42
420,S,2,0,43
421,N,29,1,43
422,N,19,2,43
423,S,20,3,43
424,S,34,4,43
425,N,17,5,43
426,N,38,6,43
427,S,1,7,43
428,S,28,8,43
429,N,23,9,43
430,N,6,10,43
431,S,22,11,43
432,S,22,0,44
433,N,20,1,44
434,N,17,2,44
435,S,28,3,44
436,S,29,4,44
437,N,23,5,44
438,N,2,6,44
439,S,6,7,44
440,S,34,8,44
441,N,1,9,44
442,N,19,10,44
443,S,38,11,44
